name,type,distance,moving_time,total_elevation_gain,start_date
Jen singles practice ,Workout,0.0,5379,0.0,2023-07-07T19:21:34Z
Lunch Walk,Walk,1678.6,1076,2.6,2023-07-07T18:47:04Z
Ride to Thursday nights in ai night 2 ,Ride,2967.8,809,9.4,2023-07-07T01:08:10Z
Morning Walk,Walk,1752.5,1322,2.8,2023-07-06T16:59:40Z
Craig comes back today early run bc meetup,Run,12133.1,4373,61.6,2023-07-06T13:54:07Z
Charlie vs me and Nico ,Workout,0.0,1552,0.0,2023-07-06T04:06:52Z
Afternoon Tennis,Workout,0.0,537,0.0,2023-07-06T00:32:23Z
"Pre-bbq, post-csv vs pandas agent epiphany ",Run,12619.0,4857,98.6,2023-07-04T20:06:14Z
Afternoon Elliptical,Elliptical,0.0,2433,0.0,2023-07-04T00:22:46Z
Stanford salut Clément ,Walk,1344.6,373,7.2,2023-07-03T20:43:24Z
Night Ride,Ride,4697.9,1100,16.6,2023-07-03T04:08:40Z
Tennis break ride ,Ride,2076.7,442,11.0,2023-07-02T23:49:00Z
Lunch Ride,Ride,5874.0,1359,69.8,2023-07-02T19:03:09Z
Evening Weight Training,WeightTraining,0.0,939,0.0,2023-07-02T02:42:10Z
Evening Elliptical,Elliptical,0.0,1338,0.0,2023-07-02T02:19:38Z
Presidio ride x sports basement ,Ride,11975.7,2807,138.6,2023-07-01T21:29:23Z
Afternoon Ride,Ride,3085.5,767,12.6,2023-07-01T20:59:54Z
Run with bagels ,Run,6029.5,2333,35.2,2023-06-30T20:54:00Z
Run for bagels ,Run,6767.3,2275,30.2,2023-06-30T20:10:27Z
Night Ride,Ride,4911.9,1436,92.4,2023-06-30T04:36:39Z
Afternoon Ride,Ride,3592.9,872,3.0,2023-06-29T21:49:50Z
Lunch Ride,Ride,2294.7,500,0.0,2023-06-29T18:43:25Z
Afternoon Ride,Ride,6199.5,1506,77.4,2023-06-28T23:27:05Z
I left an after party for this run lol,Run,14068.2,5242,122.8,2023-06-28T13:48:58Z
Morning Weight Training,WeightTraining,0.0,515,0.0,2023-06-27T17:54:29Z
Morning Elliptical,Elliptical,0.0,2828,0.0,2023-06-27T17:05:43Z
