,name,type,distance,moving_time,total_elevation_gain,start_date_local
0,Afternoon Ride,Ride,6316.7,1472,90.4,2023-06-25T14:05:09Z
1,Morning Ride,Ride,6081.4,1423,65.8,2023-06-25T08:27:11Z
2,Post-pizza ride ,Ride,10067.6,2027,136.6,2023-06-24T18:03:49Z
3,Bike for pizza went to wrong laundromat ,Ride,5280.9,1126,87.2,2023-06-24T16:44:19Z
5,Coffee to picnic hi E long way feat new Valencia bike lane ,Ride,16032.3,3683,115.2,2023-06-24T13:35:48Z
6,Ride for coffee,Ride,6872.2,1748,5.6,2023-06-24T12:22:26Z
15,Afternoon Ride,Ride,4457.1,1356,83.0,2023-06-19T14:33:01Z
16,Lunch Ride,Ride,5937.7,1633,69.8,2023-06-19T11:39:33Z
18,Lunch Ride,Ride,6393.9,1477,84.4,2023-06-18T12:25:02Z
19,Morning Ride,Ride,6164.0,1351,76.2,2023-06-18T08:25:36Z
24,Evening Ride,Ride,6377.2,1382,75.6,2023-06-15T18:42:03Z
26,Evening Ride,Ride,6355.0,1456,86.4,2023-06-14T20:50:32Z
29,Afternoon Ride,Ride,6142.2,1354,76.2,2023-06-14T15:27:42Z
30,Post-wine bar ,Ride,2619.0,820,75.6,2023-06-13T19:53:49Z
31,Pickleball to dumplings ,Ride,3734.4,736,14.0,2023-06-13T17:42:27Z
33,Afternoon Ride,Ride,6826.7,1576,73.6,2023-06-13T14:43:37Z
43,20 min Broadway Ride with Benny Adami,Ride,9144.6,1201,0.0,2023-06-09T17:22:36Z
44,30 min Disney Ride with Emma Lovewell,Ride,13505.2,1800,0.0,2023-06-09T16:50:48Z
47,30 min The Little Mermaid Ride with Tunde Oyeneyin,Ride,13290.2,1800,0.0,2023-06-08T19:39:28Z
49,Lunch Ride to conf ,Ride,5887.7,1610,22.2,2023-06-07T12:02:58Z
54,Afternoon Ride,Ride,6345.9,1422,86.0,2023-06-04T14:04:39Z
57,Morning Ride,Ride,6164.8,1371,68.8,2023-06-04T08:30:57Z
64,Night Ride,Ride,6270.8,1487,85.0,2023-05-31T21:36:24Z
66,Afternoon Ride,Ride,6057.1,1482,66.8,2023-05-31T15:21:42Z
67,Night Ride,Ride,6483.4,1423,85.8,2023-05-30T22:10:15Z
69,Evening Ride,Ride,6285.3,1293,70.6,2023-05-30T18:46:47Z
75,Night Ride,Ride,3932.8,1196,86.0,2023-05-28T21:09:08Z
76,Afternoon Ride,Ride,4113.1,1027,46.4,2023-05-28T17:45:33Z
77,Afternoon Ride,Ride,6418.9,1418,84.2,2023-05-28T14:15:20Z
82,Morning Ride,Ride,6214.4,1312,66.4,2023-05-28T08:25:22Z
83,Afternoon Ride,Ride,3981.4,1114,87.8,2023-05-27T16:14:05Z
84,Lunch Ride,Ride,2727.1,700,12.4,2023-05-27T12:26:13Z
89,Night Ride,Ride,6468.5,1540,91.2,2023-05-24T21:13:17Z
91,Afternoon Ride,Ride,6223.4,1567,65.8,2023-05-24T15:26:38Z
92,Evening Ride,Ride,6467.5,1659,91.6,2023-05-23T18:08:44Z
94,Afternoon Ride,Ride,6132.8,1431,67.2,2023-05-23T13:45:00Z
105,Evening Ride,Ride,5586.6,1539,111.4,2023-05-18T18:03:28Z
106,BIKE BUS X BIKE TO WHEREVER WORK DAY,Ride,7774.5,2254,33.0,2023-05-18T07:46:43Z
107,Morning Ride,Ride,6171.5,1478,98.2,2023-05-18T07:11:45Z
109,Afternoon Ride,Ride,5923.3,1295,61.2,2023-05-16T17:52:45Z
110,Afternoon Ride,Ride,6078.2,1436,66.0,2023-05-16T13:43:12Z
111,Lunch Ride,Ride,2873.8,715,53.8,2023-05-16T11:19:43Z
113,Morning Ride,Ride,2599.3,749,47.4,2023-05-16T09:53:03Z
120,KEVIN MEETS JAKE X KEVIN’S LAST EAST BAY BIKE PARTY,Ride,24656.9,7753,91.4,2023-05-12T20:21:22Z
121,Evening Ride,Ride,2003.4,576,0.0,2023-05-12T18:56:35Z
122,bike pickup x errands,Ride,6781.9,1893,140.2,2023-05-12T13:03:03Z
126,Evening Ride,Ride,3797.3,742,17.2,2023-05-10T19:22:26Z
128,Afternoon Ride,Ride,6302.5,1645,77.8,2023-05-10T15:19:54Z
131,Afternoon Ride,Ride,6369.4,1634,91.8,2023-05-09T17:39:13Z
132,Afternoon Ride,Ride,6215.1,1624,83.2,2023-05-09T15:22:18Z
141,sf bike party ,Ride,10283.1,3519,128.8,2023-05-05T20:16:27Z
142,To bike party ,Ride,9842.6,2640,95.0,2023-05-05T19:10:09Z
