,name,type,distance,moving_time,total_elevation_gain,start_date
0,Late to tennis run ,Run,1.2277190801740212,,5.0,2023-08-10T02:18:12Z
1,Evening Run pickup food ,Run,3.761155997513984,,126.6,2023-08-08T02:13:35Z
2,Afternoon Run,Run,0.6049098819142325,,4.2,2023-08-04T22:18:20Z
3,Evening Run,Run,1.584400248601616,,8.0,2023-08-04T01:21:40Z
4,Lunch Run,Run,5.39136109384711,,78.4,2023-08-02T19:39:02Z
5,Sunset beach run ,Run,8.046177750155376,,138.2,2023-07-31T02:13:02Z
6,Beach Run for work blog gif content ,Run,6.867681789931635,,98.4,2023-07-28T02:10:05Z
7,Alexi Pappas 10k shubhaaa,Run,6.116407706650093,,15.4,2023-07-23T14:01:24Z
8,Run to Sf race expo with Shubha! ,Run,2.138906152889994,,19.6,2023-07-22T20:18:05Z
9,I’m back morning run ,Run,8.089931634555626,,60.0,2023-07-18T14:11:15Z
10,Afternoon Run,Run,3.0518955873213174,,71.0,2023-07-17T22:40:43Z
11,It should be illegal to be this hot nyc run ,Run,4.6169049098819155,,32.6,2023-07-15T14:19:29Z
12,Run with bagels ,Run,3.8194530764449968,,56.8,2023-07-10T21:08:38Z
13,Meeting went late sprint for TooGoodToGo bagels,Run,3.9561839651957738,,20.2,2023-07-10T20:27:43Z
14,Craig comes back today early run bc meetup,Run,7.5407706650093225,,61.6,2023-07-06T13:54:07Z
15,"Pre-bbq, post-csv vs pandas agent epiphany ",Run,7.842759477936607,,98.6,2023-07-04T20:06:14Z
16,Run with bagels ,Run,3.747358607830951,,35.2,2023-06-30T20:54:00Z
17,Run for bagels ,Run,4.205904288377875,,30.2,2023-06-30T20:10:27Z
18,I left an after party for this run lol,Run,8.74344313238036,,122.8,2023-06-28T13:48:58Z
19,Quick laps testing new shoes ,Run,2.189745183343692,,22.8,2023-06-27T02:07:02Z
20,I went to bed early to get this done omg ,Run,8.326538222498446,,79.2,2023-06-23T14:10:03Z
21,The one where shubha + Lizzie run for fruit that’s on sale,Run,5.893225605966439,,125.0,2023-06-20T23:11:04Z
22,Laps x steps ,Run,3.6942200124300806,,33.6,2023-06-12T23:49:18Z
23,Lunch Run,Run,0.6392169049098819,,10.0,2023-06-12T19:13:00Z
24,Modified beach run ,Run,8.165506525792416,,94.2,2023-06-10T22:07:58Z
25,Pre-flight run for coffee ,Run,0.5050963331261653,,10.8,2023-06-10T14:38:28Z
26,Afternoon Run,Run,1.1961466749533871,,9.4,2023-06-03T21:32:50Z
27,Post-movie contemplate bike party ,Run,7.006090739589807,,133.2,2023-06-02T22:11:09Z
28,Lunch Run to movie ,Run,1.358607830950901,,20.8,2023-06-02T19:22:46Z
29,Afternoon Run,Run,0.8978868862647608,,38.0,2023-05-29T21:09:43Z
30,Lunch Run,Run,0.8322560596643878,,0.0,2023-05-29T18:53:11Z
31,Cycling is making me weak 😠😤,Run,3.4927284027346177,,81.4,2022-09-26T00:09:42Z
32,Sightsee x shop x couldn’t find boba in mall ATL,Run,7.578185208203853,,133.6,2022-09-14T22:05:48Z
33,Run with Shubha to blue barn ,Run,5.01808576755749,,29.6,2022-08-23T01:24:22Z
34,Run to books Inc ,Run,4.020385332504661,,109.0,2022-08-21T00:01:21Z
35,First hawk hill run! ,Run,17.022063393412058,,344.1,2022-08-15T20:42:04Z
36,"Post-dim sum, pre-pageant lands end ",Run,11.670229956494719,,287.1,2022-08-13T20:26:58Z
37,Quick KC sightseeing ,Run,4.08769422001243,,91.4,2022-08-10T21:05:47Z
38,"Easy mon-yay, hard borough hills ",Run,3.273896830329397,,64.3,2022-07-26T01:12:51Z
39,Night run post-Notion api shenanigans ,Run,3.088253573648229,,0.0,2022-07-21T03:29:34Z
40,1st post-Covid run into shubha! ,Run,8.052206339341206,,75.9,2022-07-13T00:39:06Z
41,EZ ,Run,2.497700435052828,,4.7,2022-06-30T02:49:57Z
42,Pre-warriors post-meetings I’m dehydrated omg,Run,3.4105655686761964,,0.0,2022-06-16T21:53:05Z
43,Beach Monday run ,Run,8.237352392790553,,129.8,2022-05-23T21:20:01Z
44,Avoiding bay 2 breakers shenanigans beach run,Run,7.776507147296457,,65.6,2022-05-16T00:52:13Z
45,"Easy pre-singles match run into maddy, Twitter mutual to tunnel top park",Run,5.977252952144188,,136.5,2022-04-27T00:40:41Z
46,Post-twitch/tiktok laps,Run,3.211995027967682,,0.0,2022-04-26T01:58:19Z
47,Pre-twitch huuump day beach Yelp run ,Run,6.961342448725916,,34.8,2022-04-13T18:13:36Z
48,Run to kc library with backpack ,Run,1.3282784338098197,,29.9,2022-04-08T17:14:38Z
49,"Y is slack/Twitter going off when I’m on the beach, unlimited PTO is a scam !! ",Run,8.691547545059043,,97.5,2022-03-29T21:57:24Z
50,Beach run and recap with Jen ,Run,3.0894344313238036,,22.2,2022-03-28T22:13:31Z
51,Run to Jen while taking a call post-GDC/club day off ,Run,3.0591050341827226,,14.6,2022-03-28T21:42:54Z
52,Late to gala volunteer Ty movie,Run,0.4505282784338098,,0.0,2022-03-27T20:43:50Z
53,Run to pickup Sam’s pan to impress dinner but too heavy for hill,Run,2.07172156619018,,9.8,2022-03-26T19:14:46Z
54,"Late to meeting post-iguana man, party, Diane shenanigans rofl ",Run,0.8368551895587322,,0.0,2022-03-24T17:48:46Z
55,Late to meeting rofl ,Run,0.4423865755127408,,0.0,2022-03-23T22:15:21Z
56,Last-min karaoke ,Run,0.07563704164077066,,2.1,2022-03-20T05:15:21Z
57,Run to 🎾 bc late ,Run,0.5628962088253574,,0.0,2022-03-16T00:24:05Z
58,Chinatown LNY 10K,Run,6.5952765692977,,76.8,2022-03-06T16:00:52Z
59,Quick borough night run pre-oakland,Run,1.611311373523928,,50.9,2022-03-05T02:15:41Z
60,Orchids + tea -> pick up rackets ,Run,4.299689247980112,,72.8,2022-02-28T01:07:17Z
61,To orchids last-min,Run,4.4319453076445,,96.8,2022-02-27T22:27:40Z
62,"Post-pancake party the vc’s came late, artists were early",Run,2.0479179614667493,,92.5,2022-02-27T20:01:40Z
63,Light run to sf pancake party !sweat makeup off,Run,2.603169670602859,,47.5,2022-02-27T17:40:49Z
64,Late to tennis run ,Run,1.2601615910503419,,0.0,2022-02-24T02:48:04Z
