,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,type,distance,moving_time,total_elevation_gain,start_date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I’m back morning run ,Run,2.4916790568159986e-54,5137,60.0,2023-07-18T14:11:15Z
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Afternoon Run,Run,9.399763387413789e-55,1858,71.0,2023-07-17T22:40:43Z
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,It should be illegal to be this hot nyc run ,Run,1.4219953629924066e-54,2844,32.6,2023-07-15T14:19:29Z
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Run with bagels ,Run,1.176382158585723e-54,2422,56.8,2023-07-10T21:08:38Z
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Meeting went late sprint for TooGoodToGo bagels,Run,1.2184949362098129e-54,2033,20.2,2023-07-10T20:27:43Z
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Craig comes back today early run bc meetup,Run,2.3225388281403127e-54,4373,61.6,2023-07-06T13:54:07Z
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Pre-bbq, post-csv vs pandas agent epiphany ",Run,2.4155506401746427e-54,4857,98.6,2023-07-04T20:06:14Z
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Run with bagels ,Run,1.1541772394748143e-54,2333,35.2,2023-06-30T20:54:00Z
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Run for bagels ,Run,1.29540818188872e-54,2275,30.2,2023-06-30T20:10:27Z
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,I left an after party for this run lol,Run,2.692958991687511e-54,5242,122.8,2023-06-28T13:48:58Z
